accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr,avg_file_size_kb
0.8495879120879121,0.8878049639338756,0.9850746268656716,0.8184233835252436,0.9571865443425076,0.8940493468795355,0.6760797181984373,0.9639501277144398,924,313,14,205,1,Inception_DenseNet169_Attention,CR1_original,CR1_original,743.7183203125
0.8392857142857143,0.8757310060322387,0.9796355841371919,0.8095659875996457,0.9418960244648318,0.8865179437439379,0.6536363738227834,0.956165370561483,914,308,19,215,1,Inception_DenseNet169_Attention,CR1_original,CR15,650.68240234375
0.8413461538461539,0.8814043441870292,0.9838362068965517,0.8086802480070859,0.9541284403669725,0.8877005347593583,0.6621334508754863,0.9580451970973746,913,312,15,216,1,Inception_DenseNet169_Attention,CR1_original,CR25,626.765537109375
0.8475274725274725,0.8875625367365236,0.9860664523043944,0.8148804251550045,0.9602446483180428,0.8923375363724539,0.6742189680249189,0.9629235365658765,920,314,13,209,1,Inception_DenseNet169_Attention,CR1_original,CR50,583.6102734375
0.8131868131868132,0.8665052291140166,0.9863791146424518,0.7697077059344553,0.963302752293578,0.8646766169154229,0.6257619352532259,0.9564633257761057,869,315,12,260,1,Inception_DenseNet169_Attention,CR1_original,CR100,513.331142578125
0.6607142857142857,0.7660157699569048,0.9788838612368024,0.5748449955713021,0.9571865443425076,0.7243303571428571,0.44582546205822915,0.8797791339254515,649,313,14,480,1,Inception_DenseNet169_Attention,CR1_original,CR500,370.967001953125
0.47046703296703296,0.6172724637916697,0.9124423963133641,0.3507528786536758,0.8837920489296636,0.5067178502879078,0.21398167349234906,0.7609234444706283,396,289,38,733,1,Inception_DenseNet169_Attention,CR1_original,CR1000,298.21013671875
0.815697266993693,0.8665656686398528,0.9866666666666667,0.7636022514071295,0.9695290858725761,0.8609201480698043,0.6453402707751635,0.9557644234017452,814,350,11,252,2,Inception_DenseNet169_Attention,CR1_original,CR1_original,533.11130859375
0.8093903293622985,0.8632602786713995,0.9877149877149877,0.7542213883677298,0.9722991689750693,0.8553191489361702,0.6380249630272111,0.956689516820589,804,351,10,262,2,Inception_DenseNet169_Attention,CR1_original,CR15,564.698310546875
0.8002803083391731,0.8562467192965132,0.9863013698630136,0.7429643527204502,0.9695290858725761,0.8475120385232745,0.624400159120944,0.9575522443909714,792,350,11,274,2,Inception_DenseNet169_Attention,CR1_original,CR25,545.352373046875
0.7904695164681149,0.8551761055645928,0.9935649935649936,0.724202626641651,0.9861495844875346,0.8377645143787303,0.6200671905027226,0.9576068145083753,772,356,5,294,2,Inception_DenseNet169_Attention,CR1_original,CR50,512.813671875
0.7582340574632095,0.8354321173725268,0.9958734525447043,0.6791744840525328,0.9916897506925207,0.807585052983826,0.5833787655524055,0.9550861947997277,724,358,3,342,2,Inception_DenseNet169_Attention,CR1_original,CR100,458.707138671875
0.5732305536089699,0.7006127444611331,0.9691991786447639,0.4427767354596623,0.9584487534626038,0.6078557630392788,0.36786825381657084,0.8638475570777443,472,346,15,594,2,Inception_DenseNet169_Attention,CR1_original,CR500,335.969091796875
0.48563419761737914,0.6328223664721199,0.9345549738219895,0.3348968105065666,0.9307479224376731,0.4930939226519337,0.2608216187709217,0.8173512184727643,357,336,25,709,2,Inception_DenseNet169_Attention,CR1_original,CR1000,280.5346875
0.7907124681933843,0.7610038325471697,0.8438381937911571,0.8462264150943396,0.67578125,0.8450306170513424,0.52280444316021,0.8301923643867926,897,346,166,163,3,Inception_DenseNet169_Attention,CR1_original,CR1_original,563.876396484375
0.7849872773536896,0.7557488207547169,0.8412098298676749,0.839622641509434,0.671875,0.8404154863078376,0.5109838278129877,0.828317548643868,890,344,168,170,3,Inception_DenseNet169_Attention,CR1_original,CR15,606.50130859375
0.7856234096692112,0.7572302476415094,0.842654028436019,0.8386792452830188,0.67578125,0.840661938534279,0.5131784884994401,0.8261912219929246,889,346,166,171,3,Inception_DenseNet169_Attention,CR1_original,CR25,593.31263671875
0.7932569974554707,0.7654149469339623,0.847682119205298,0.8452830188679246,0.685546875,0.8464808691544639,0.5300321060654218,0.8273842865566038,896,351,161,164,3,Inception_DenseNet169_Attention,CR1_original,CR50,559.975859375
0.7805343511450382,0.764563679245283,0.8564307078763709,0.810377358490566,0.71875,0.8327678138633059,0.5159902919224771,0.823147295106132,859,368,144,201,3,Inception_DenseNet169_Attention,CR1_original,CR100,504.245693359375
0.6539440203562341,0.634850383254717,0.7727272727272727,0.689622641509434,0.580078125,0.7288135593220338,0.2581887762402796,0.6920990566037736,731,297,215,329,3,Inception_DenseNet169_Attention,CR1_original,CR500,359.258251953125
0.5928753180661578,0.573411704009434,0.7297592997811816,0.629245283018868,0.517578125,0.6757852077001013,0.13947525657700602,0.6000709389740566,667,265,247,393,3,Inception_DenseNet169_Attention,CR1_original,CR1000,293.458203125
0.7567567567567568,0.6836171467332273,0.7311220889202541,0.9691300280636108,0.3981042654028436,0.833467417538214,0.4753643215504021,0.8123853773661583,1036,252,381,33,4,Inception_DenseNet169_Attention,CR1_original,CR1_original,483.366083984375
0.7620446533490012,0.690403988904603,0.7354609929078014,0.9700654817586529,0.4107424960505529,0.836627672448568,0.4881977389716124,0.8116893288821697,1037,260,373,32,4,Inception_DenseNet169_Attention,CR1_original,CR15,559.86873046875
0.7620446533490012,0.6910483140405245,0.7361308677098151,0.9681945743685687,0.41390205371248023,0.8363636363636363,0.48722032472839927,0.8096011834302037,1035,262,371,34,4,Inception_DenseNet169_Attention,CR1_original,CR25,541.44939453125
0.7591069330199764,0.6877431920990369,0.7341862117981521,0.9663236669784846,0.40916271721958924,0.8344103392568659,0.4794318082605675,0.806579800998113,1033,259,374,36,4,Inception_DenseNet169_Attention,CR1_original,CR50,505.3709765625
0.7643948296122209,0.6977516599500204,0.7420289855072464,0.9579045837231057,0.43759873617693523,0.8362596978358514,0.4880601644659751,0.8114248009020552,1024,277,356,45,4,Inception_DenseNet169_Attention,CR1_original,CR100,447.577724609375
0.7602820211515864,0.7054310993280398,0.753256704980843,0.9195509822263798,0.4913112164296998,0.8281381634372368,0.46955490790924753,0.7966954691824903,983,311,322,86,4,Inception_DenseNet169_Attention,CR1_original,CR500,320.901328125
0.7197414806110458,0.6538281927714404,0.7182890855457227,0.9111318989710009,0.39652448657187994,0.8032989690721649,0.3694781385350987,0.7619070841775324,974,251,382,95,4,Inception_DenseNet169_Attention,CR1_original,CR1000,256.31470703125
0.9275527666856817,0.908269073285801,0.9103101424979044,0.9819168173598554,0.8346213292117465,0.9447585906916051,0.8450685652047993,0.9850778806621744,1086,540,107,20,5,Inception_DenseNet169_Attention,CR1_original,CR1_original,559.8022265625
0.9298345693097547,0.9110395454329483,0.9126784214945424,0.9828209764918626,0.839258114374034,0.9464518937744885,0.8500006691276674,0.9846642313529407,1087,543,104,19,5,Inception_DenseNet169_Attention,CR1_original,CR15,610.179267578125
0.9281232173416999,0.910324742657026,0.9138513513513513,0.9783001808318263,0.8423493044822257,0.9449781659388646,0.8457761238065944,0.9850101036638708,1082,545,102,24,5,Inception_DenseNet169_Attention,CR1_original,CR25,595.4264453125
0.9275527666856817,0.9089105092078895,0.911690496215307,0.9801084990958409,0.8377125193199382,0.9446623093681917,0.8448069780887865,0.9849765645306898,1084,542,105,22,5,Inception_DenseNet169_Attention,CR1_original,CR50,566.379013671875
0.9321163719338277,0.9170171971905385,0.9221556886227545,0.9746835443037974,0.8593508500772797,0.9476923076923077,0.8538861814492685,0.984360282958487,1078,556,91,28,5,Inception_DenseNet169_Attention,CR1_original,CR100,510.67013671875
0.8568168853394181,0.8243087444904986,0.8439259855189059,0.9484629294755877,0.7001545595054096,0.8931460195828012,0.6891245248334837,0.9150425807245011,1049,453,194,57,5,Inception_DenseNet169_Attention,CR1_original,CR500,345.7420703125
0.8054763262977752,0.7669442495758697,0.8042959427207638,0.9141048824593129,0.6197836166924265,0.8556919170545916,0.5719680794728091,0.868146487754024,1011,401,246,95,5,Inception_DenseNet169_Attention,CR1_original,CR1000,288.189375
