accuracy,balanced_accuracy,precision,recall,specificity,f1_score,mcc,auc_roc,tp,tn,fp,fn,fold,model,train_cr,test_cr
0.882554945054945,0.8992870744319212,0.9770916334661355,0.8689105403011514,0.9296636085626911,0.919831223628692,0.720277785658622,0.959239726639634,981,304,23,148,1,Inception_DenseNet169_Attention,Mixed,CR1_original
0.882554945054945,0.9003732566234091,0.9780439121756487,0.8680248007085917,0.9327217125382263,0.9197559831065227,0.7213634211367204,0.9578257937120613,980,305,22,149,1,Inception_DenseNet169_Attention,Mixed,CR15
0.8832417582417582,0.9008161264196889,0.9780658025922233,0.8689105403011514,0.9327217125382263,0.9202626641651032,0.7225975122273705,0.9602094354290419,981,305,22,148,1,Inception_DenseNet169_Attention,Mixed,CR25
0.882554945054945,0.8992870744319212,0.9770916334661355,0.8689105403011514,0.9296636085626911,0.919831223628692,0.720277785658622,0.9568750457090385,981,304,23,148,1,Inception_DenseNet169_Attention,Mixed,CR50
0.8592032967032966,0.8668505862946019,0.9610778443113772,0.8529672276350753,0.8807339449541285,0.9038010323791648,0.6609647112978853,0.9352597492300565,963,288,39,166,1,Inception_DenseNet169_Attention,Mixed,CR100
0.7973901098901099,0.7118569923317162,0.8709964412811388,0.8671390611160319,0.5565749235474006,0.869063470927652,0.4214455261351124,0.8128814165332638,979,182,145,150,1,Inception_DenseNet169_Attention,Mixed,CR500
0.7918956043956044,0.6626943819189941,0.8441666666666666,0.8972542072630647,0.42813455657492355,0.8699012451696007,0.35670795411066086,0.7818290658020548,1013,140,187,116,1,Inception_DenseNet169_Attention,Mixed,CR1000
0.9011913104414856,0.9091329587917656,0.9724208375893769,0.8930581613508443,0.925207756232687,0.9310513447432763,0.7664720325655592,0.9630196504394194,952,334,27,114,2,Inception_DenseNet169_Attention,Mixed,CR1_original
0.897687456201822,0.9058717446326392,0.9713114754098361,0.8893058161350844,0.9224376731301939,0.9285014691478942,0.7589931170480578,0.9637888292371097,948,333,28,118,2,Inception_DenseNet169_Attention,Mixed,CR15
0.900490539593553,0.9095799140390722,0.9733606557377049,0.8911819887429644,0.9279778393351801,0.930460333006856,0.7659275121951709,0.9636692946942255,950,335,26,116,2,Inception_DenseNet169_Attention,Mixed,CR25
0.9032936229852838,0.9096240898483989,0.9715447154471545,0.8968105065666041,0.9224376731301939,0.9326829268292683,0.7697474804879005,0.9632223394469188,956,333,28,110,2,Inception_DenseNet169_Attention,Mixed,CR50
0.8990889978976875,0.9022298389401964,0.9665991902834008,0.8958724202626641,0.9085872576177285,0.9298928919182083,0.757749662525352,0.9585708865825073,955,328,33,111,2,Inception_DenseNet169_Attention,Mixed,CR100
0.8402242466713384,0.8042063166210183,0.9060077519379846,0.8771106941838649,0.7313019390581718,0.8913250714966635,0.5911422906361662,0.8628925800231795,935,264,97,131,2,Inception_DenseNet169_Attention,Mixed,CR500
0.7939733707077785,0.7430215214148732,0.874031007751938,0.8461538461538461,0.6398891966759003,0.8598665395614872,0.4722462716711006,0.8182269389282429,902,231,130,164,2,Inception_DenseNet169_Attention,Mixed,CR1000
0.8256997455470738,0.7763450766509434,0.8387931034482758,0.9179245283018868,0.634765625,0.8765765765765766,0.5889684591570087,0.8467257517688679,973,325,187,87,3,Inception_DenseNet169_Attention,Mixed,CR1_original
0.8244274809160306,0.7754016804245283,0.8385146804835925,0.9160377358490566,0.634765625,0.8755635707844905,0.5860437577332382,0.8454396373820754,971,325,187,89,3,Inception_DenseNet169_Attention,Mixed,CR15
0.821882951653944,0.7740197523584906,0.8385416666666666,0.9113207547169812,0.63671875,0.8734177215189873,0.5804287200897601,0.8430756191037735,966,326,186,94,3,Inception_DenseNet169_Attention,Mixed,CR25
0.8174300254452926,0.7707178655660377,0.8375545851528384,0.9047169811320754,0.63671875,0.8698412698412699,0.5704507364984671,0.8407889887971698,959,326,186,101,3,Inception_DenseNet169_Attention,Mixed,CR50
0.8187022900763359,0.7852926002358491,0.8545288197621226,0.8811320754716981,0.689453125,0.8676265675801208,0.5809390609948072,0.8425025795990566,934,353,159,126,3,Inception_DenseNet169_Attention,Mixed,CR100
0.6825699745547074,0.6767762382075472,0.8085808580858086,0.6933962264150944,0.66015625,0.7465718638902996,0.3355081627914588,0.7470684699292452,735,338,174,325,3,Inception_DenseNet169_Attention,Mixed,CR500
0.6195928753180662,0.6371462264150943,0.7953964194373402,0.5867924528301887,0.6875,0.6753528773072747,0.2570898015781356,0.7018527048938679,622,352,160,438,3,Inception_DenseNet169_Attention,Mixed,CR1000
0.782021151586369,0.7314353820212598,0.7709627329192547,0.9289055191768008,0.5339652448657188,0.8425965210012728,0.5214256079517048,0.8215566658834275,993,338,295,76,4,Inception_DenseNet169_Attention,Mixed,CR1_original
0.7855464159811986,0.738752019057837,0.778041074249605,0.921421889616464,0.5560821484992101,0.8436830835117773,0.528697989351594,0.8210172652535848,985,352,281,84,4,Inception_DenseNet169_Attention,Mixed,CR15
0.7861339600470035,0.7372867704975934,0.7756059421422987,0.9279700654817586,0.5466034755134281,0.8449744463373083,0.5307484969291463,0.82386352720722,992,346,287,77,4,Inception_DenseNet169_Attention,Mixed,CR25
0.7796709753231492,0.730530962335058,0.7715179968701096,0.9223573433115061,0.5387045813586098,0.8402215594375799,0.5152305561396671,0.8266595436227329,986,341,292,83,4,Inception_DenseNet169_Attention,Mixed,CR50
0.7914218566392479,0.7450401003728515,0.7819905213270142,0.9260991580916744,0.5639810426540285,0.8479657387580299,0.5426224619539475,0.8389556612682268,990,357,276,79,4,Inception_DenseNet169_Attention,Mixed,CR100
0.7555816686251469,0.7126428118585382,0.7656631407648494,0.8802619270346118,0.5450236966824644,0.8189730200174065,0.4588438318546784,0.8099462520523084,941,345,288,128,4,Inception_DenseNet169_Attention,Mixed,CR500
0.7121034077555817,0.6538688325449218,0.7218390804597701,0.8811973807296539,0.4265402843601896,0.793597304128054,0.3516987726398862,0.7469649478259199,942,270,363,127,4,Inception_DenseNet169_Attention,Mixed,CR1000
0.9241300627495722,0.904273724045602,0.907112970711297,0.9801084990958409,0.8284389489953632,0.9421990438939591,0.8375951664137965,0.9800791523543074,1084,536,111,22,5,Inception_DenseNet169_Attention,Mixed,CR1_original
0.9258414147176269,0.9062713986657015,0.9087102177554439,0.9810126582278481,0.8315301391035549,0.9434782608695652,0.8413329178831267,0.9799547780687609,1085,538,109,21,5,Inception_DenseNet169_Attention,Mixed,CR15
0.9247005134055905,0.90504652157265,0.9078726968174204,0.9801084990958409,0.8299845440494591,0.9426086956521739,0.8387963636926773,0.9799547780687609,1084,537,110,22,5,Inception_DenseNet169_Attention,Mixed,CR25
0.9247005134055905,0.90504652157265,0.9078726968174204,0.9801084990958409,0.8299845440494591,0.9426086956521739,0.8387963636926773,0.9797172092087281,1084,537,110,22,5,Inception_DenseNet169_Attention,Mixed,CR50
0.930405019965773,0.9163023944146164,0.923407917383821,0.9701627486437613,0.8624420401854714,0.9462081128747796,0.8499077781324821,0.979504794698581,1073,558,89,33,5,Inception_DenseNet169_Attention,Mixed,CR100
0.8716486023958927,0.862361686012225,0.8986425339366516,0.8978300180831826,0.8268933539412674,0.898236092265943,0.7244915578811637,0.9425726192106566,993,535,112,113,5,Inception_DenseNet169_Attention,Mixed,CR500
0.8282943525385055,0.8068362535670266,0.8466838931955211,0.8887884267631103,0.7248840803709428,0.8672254080282311,0.626165892414015,0.8915456230033735,983,469,178,123,5,Inception_DenseNet169_Attention,Mixed,CR1000
