accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,auc_roc,fold,cr_level,file_size_kb,emissions_kg,duration_seconds,epochs_trained
0.8075742067553736,0.7793850171078697,0.7756410256410257,0.6722222222222223,0.8865478119935171,0.7202380952380952,0.5781477241602434,0.8723347739960382,1,CR1_original,110.48384765625,0.005214316146469548,220.85538744926453,21
0.8075742067553736,0.7915338555735638,0.7429378531073446,0.7305555555555555,0.8525121555915721,0.7366946778711485,0.5851499469399306,0.8747568881685576,2,CR1_original,110.48384765625,0.0036345849704079733,154.8971507549286,14
0.804503582395087,0.7972019629029354,0.7194805194805195,0.7694444444444445,0.8249594813614263,0.7436241610738255,0.5867921339153995,0.8835314244552495,3,CR1_original,110.48384765625,0.004273541475464153,180.29532098770142,17
0.8024564994882293,0.7828538627768774,0.7434402332361516,0.7083333333333334,0.8573743922204214,0.7254623044096729,0.5717343073107282,0.8814154511075094,4,CR1_original,110.48384765625,0.004078278275097245,172.8037874698639,16
0.8065506653019447,0.7803101926886368,0.768025078369906,0.6805555555555556,0.880064829821718,0.7216494845360825,0.5767059467127338,0.8716369529983793,5,CR1_original,110.48384765625,0.00513404188684719,214.48669505119324,21
0.781985670419652,0.7608612461732397,0.7142857142857143,0.6805555555555556,0.8411669367909238,0.6970128022759602,0.5272804918443653,0.8456600036016568,1,CR15,88.579501953125,0.0032101206686450615,138.08726334571838,12
0.7727737973387923,0.7547249234647938,0.6938202247191011,0.6861111111111111,0.8233387358184765,0.6899441340782123,0.5106513323994549,0.8578245993156852,2,CR15,88.579501953125,0.004047619621849323,171.6378209590912,16
0.7686796315250768,0.7468553034395822,0.6947674418604651,0.6638888888888889,0.8298217179902755,0.6789772727272727,0.49863781841237587,0.8434810012605798,3,CR15,88.579501953125,0.0047582887094155,200.2231421470642,19
0.7922210849539406,0.7672294255357465,0.7400611620795107,0.6722222222222223,0.8622366288492707,0.7045123726346434,0.546358308098739,0.8632856113812354,4,CR15,88.579501953125,0.0034461624821239753,147.69740843772888,13
0.7737973387922211,0.7480145867098866,0.7112462006079028,0.65,0.8460291734197731,0.6792452830188679,0.5063089451428321,0.850522240230506,5,CR15,88.579501953125,0.0030189783657896736,130.688081741333,11
0.8004094165813715,0.7829686655861696,0.7350427350427351,0.7166666666666667,0.8492706645056726,0.7257383966244726,0.5690120322189234,0.871254276967405,1,CR25,101.286494140625,0.005415449598424178,226.75939226150513,22
0.797338792221085,0.7701242571582928,0.7547169811320755,0.6666666666666666,0.873581847649919,0.7079646017699115,0.5562002072553662,0.8695074734377813,2,CR25,101.286494140625,0.0043032242638425654,181.92384028434753,17
0.7871033776867963,0.7793760129659644,0.6958762886597938,0.75,0.8087520259319287,0.7219251336898396,0.5508577108547074,0.8682333873581848,3,CR25,101.286494140625,0.006290894908681646,261.6952590942383,26
0.8014329580348004,0.7803079416531604,0.7455621301775148,0.7,0.8606158833063209,0.7220630372492837,0.5685261576146563,0.8689717269944176,4,CR25,101.286494140625,0.005601745514972608,233.82455110549927,23
0.8075742067553736,0.7834346299297676,0.7638036809815951,0.6916666666666667,0.8752025931928687,0.7259475218658892,0.5799324961224968,0.8758869079776698,5,CR25,101.286494140625,0.004729393068750058,198.85639834403992,19
0.7952917093142272,0.7586687376193049,0.7797202797202797,0.6194444444444445,0.8978930307941653,0.6904024767801857,0.5484609750494523,0.8602872321267783,1,CR50,109.330419921875,0.003910831324931202,166.7466583251953,15
0.8055271238485159,0.7806568521519899,0.7623456790123457,0.6861111111111111,0.8752025931928687,0.7222222222222222,0.5751357742688877,0.8655636592832703,2,CR50,109.330419921875,0.004215873613130581,178.29491138458252,17
0.7942681678607983,0.7757923644876643,0.7277936962750716,0.7055555555555556,0.8460291734197731,0.7165021156558533,0.5552819173216864,0.8675625787862417,3,CR50,109.330419921875,0.004290426096274078,181.1392638683319,17
0.8065506653019447,0.7907234828020889,0.7408450704225352,0.7305555555555555,0.8508914100486223,0.7356643356643356,0.583169190900892,0.8738564739780299,4,CR50,109.330419921875,0.004070787325246477,172.33537459373474,16
0.7932446264073695,0.7859737979470556,0.7036082474226805,0.7583333333333333,0.813614262560778,0.7299465240641712,0.5638668475118273,0.8685350261120115,5,CR50,109.330419921875,0.0034840525372844,149.5364863872528,13
0.7809621289662231,0.7334391320007203,0.7896825396825397,0.5527777777777778,0.9141004862236629,0.6503267973856209,0.5147877622185161,0.8666441563119034,1,CR100,112.816064453125,0.0038747550527423,164.95959544181824,15
0.8157625383828045,0.7962812893931208,0.7647058823529411,0.7222222222222222,0.8703403565640194,0.7428571428571429,0.6000934401794202,0.8782820097244733,2,CR100,112.816064453125,0.0025933201556705785,113.60974550247192,9
0.8147389969293757,0.801256077795786,0.7479224376731302,0.75,0.8525121555915721,0.7489597780859917,0.6021652487115604,0.8804069872141185,3,CR100,112.816064453125,0.004429814030551105,187.06849694252014,18
0.8004094165813715,0.7777620205294435,0.7477477477477478,0.6916666666666667,0.8638573743922204,0.7186147186147186,0.565368542444842,0.8662479740680714,4,CR100,112.816064453125,0.0036558348690326975,156.0569624900818,14
0.8116683725690891,0.7826265081937691,0.7857142857142857,0.6722222222222223,0.893030794165316,0.7245508982035929,0.5868786407994913,0.8798712407707545,5,CR100,112.816064453125,0.005207517581266134,218.44118332862854,21
0.8004094165813715,0.7679272465334054,0.7759197324414716,0.6444444444444445,0.8914100486223663,0.7040971168437026,0.5609062353107248,0.8713848370250316,1,CR500,112.246748046875,0.004192341718711693,177.98231029510498,17
0.8004094165813715,0.801481181343418,0.6987951807228916,0.8055555555555556,0.7974068071312804,0.7483870967741936,0.5884259677806388,0.8706600036016567,2,CR500,112.246748046875,0.003049250223413417,132.29938459396362,11
0.8147389969293757,0.7954709166216459,0.7624633431085044,0.7222222222222222,0.8687196110210696,0.7417974322396577,0.5980435629382909,0.8781379434539889,3,CR500,112.246748046875,0.004514033277436629,190.36184096336365,18
0.8116683725690891,0.8080812173599856,0.7222222222222222,0.7944444444444444,0.8217179902755267,0.7566137566137566,0.6054152977655065,0.8862641815235007,4,CR500,112.246748046875,0.0040873298046354934,173.23510074615479,16
0.797338792221085,0.7747523860976049,0.7425149700598802,0.6888888888888889,0.8606158833063209,0.7146974063400576,0.5588388380096428,0.8764271564919862,5,CR500,112.246748046875,0.0036621135031628315,156.35597777366638,14
0.7778915046059366,0.7570412389699261,0.7072463768115942,0.6777777777777778,0.8363047001620746,0.6921985815602837,0.5188699831338669,0.8496848550333154,1,CR1000,110.6052734375,0.0032595156704405192,140.61660861968994,12
0.8055271238485159,0.8049545290833784,0.7083333333333334,0.8027777777777778,0.807131280388979,0.7526041666666666,0.5965855102012206,0.8745768053304519,2,CR1000,110.6052734375,0.004554716874882979,192.3681938648224,18
0.81985670419652,0.8012583288312624,0.7690058479532164,0.7305555555555555,0.8719611021069692,0.7492877492877493,0.6093446115331774,0.8855933729515577,3,CR1000,110.6052734375,0.003647837771355196,155.67653679847717,14
0.8178096212896623,0.8106293895191788,0.7382198952879581,0.7833333333333333,0.8379254457050244,0.7601078167115903,0.6141524757519913,0.8932739059967586,4,CR1000,110.6052734375,0.004087749039907183,173.25547289848328,16
0.7881269191402251,0.7558887088060507,0.7524752475247525,0.6333333333333333,0.8784440842787682,0.6877828054298643,0.5337325489096341,0.8695569962182603,5,CR1000,110.6052734375,0.004084387489278233,173.1399381160736,16
